SAMPLE_ID,A_SECTOR,SHELF,SAMPLE_DATE,AIMS_REEF_NAME,REEF_NAME,FULLREEF_ID,REPORT_YEAR,VISIT_NO,REEF_LAT,REEF_LONG,OPENORCLOSED,OPENORCLOSED_AFTER2004,MP_ZONE,NEW_ZONE_2004,SITE_NO,TRANSECT_NO,WHITESYNDROME,SEB_DISEASE,BROWNB_DISEASE,BLACKBAND,AN,U_SCAR
GX616,CL,M,30/06/2001,Macgillivray Reef,MACGILLIVRAY REEF,14114S,2002,10,-14.65,145.4916667,C,C,NP/BZ/NS,Scientific Research,1,1,0,0,0,0,0,0
GX617,CL,M,30/06/2001,Macgillivray Reef,MACGILLIVRAY REEF,14114S,2002,10,-14.65,145.4916667,C,C,NP/BZ/NS,Scientific Research,1,2,0,0,0,0,0,0
GX618,CL,M,30/06/2001,Macgillivray Reef,MACGILLIVRAY REEF,14114S,2002,10,-14.65,145.4916667,C,C,NP/BZ/NS,Scientific Research,1,3,0,0,0,0,0,1
GX619,CL,M,30/06/2001,Macgillivray Reef,MACGILLIVRAY REEF,14114S,2002,10,-14.65,145.4916667,C,C,NP/BZ/NS,Scientific Research,1,4,0,0,0,0,0,0
GX620,CL,M,30/06/2001,Macgillivray Reef,MACGILLIVRAY REEF,14114S,2002,10,-14.65,145.4916667,C,C,NP/BZ/NS,Scientific Research,1,5,0,0,0,0,0,0
GX621,CL,M,30/06/2001,Macgillivray Reef,MACGILLIVRAY REEF,14114S,2002,10,-14.65,145.4916667,C,C,NP/BZ/NS,Scientific Research,2,1,0,0,0,0,0,0
GX622,CL,M,30/06/2001,Macgillivray Reef,MACGILLIVRAY REEF,14114S,2002,10,-14.65,145.4916667,C,C,NP/BZ/NS,Scientific Research,2,2,0,0,0,0,0,1
GX623,CL,M,30/06/2001,Macgillivray Reef,MACGILLIVRAY REEF,14114S,2002,10,-14.65,145.4916667,C,C,NP/BZ/NS,Scientific Research,2,3,0,0,0,0,0,0
GX624,CL,M,30/06/2001,Macgillivray Reef,MACGILLIVRAY REEF,14114S,2002,10,-14.65,145.4916667,C,C,NP/BZ/NS,Scientific Research,2,4,0,0,0,0,0,0
GX625,CL,M,30/06/2001,Macgillivray Reef,MACGILLIVRAY REEF,14114S,2002,10,-14.65,145.4916667,C,C,NP/BZ/NS,Scientific Research,2,5,0,0,0,0,0,0
GX601,CL,O,30/06/2001,No Name Reef,NO NAME REEF,14139S,2002,10,-14.65,145.65,C,C,NP/BZ/NS,Marine National Park,1,1,8,0,0,0,0,0
