A_SECTOR,SHELF,AIMS_REEF_NAME,REEF_NAME,FULLREEF_ID,REPORT_YEAR,VISIT_NO,REEF_LAT,REEF_LONG,OPENORCLOSED,OPENORCLOSED_AFTER2004,MP_ZONE,NEW_ZONE_2004,SITE_NO,TRANSECT_NO,BLEACHING_PERHC,WHITESYNDROME,SEB_DISEASE,BROWNB_DISEASE,BLACKBAND,AN,U_SCAR
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,1,1,0,1,0,0,0,0,1
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,1,2,0,1,0,0,0,0,1
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,1,3,0,0,0,0,0,0,0
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,1,4,0,2,0,0,0,0,2
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,1,5,0,2,0,0,0,0,2
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,2,1,0,0,0,0,0,0,0
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,2,2,0,0,0,0,0,0,2
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,2,3,0,0,0,0,0,0,0
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,2,4,0,2,0,0,0,0,2
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,2,5,0,0,0,0,0,0,1
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,3,1,0,0,0,0,0,0,1
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,3,2,0,0,0,0,0,0,3
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,3,3,0,0,0,0,0,0,3
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,3,4,0,0,0,0,0,0,0
CA,O,Agincourt Reef No.1,AGINCOURT REEFS (NO 1),15099C,2002,10,-16.05,145.8583333,O,C,HP,Marine National Park,3,5,0,0,0,0,0,0,1
WH,I,Border Island,BORDER ISLAND REEF (NO 1),20067A,2002,10,-20.175,149.025,C,C,MNPB,Marine National Park,1,1,0,0,0,0,0,0,0
WH,I,Border Island,BORDER ISLAND REEF (NO 1),20067A,2002,10,-20.175,149.025,C,C,MNPB,Marine National Park,1,2,0+,0,0,0,0,0,0
WH,I,Border Island,BORDER ISLAND REEF (NO 1),20067A,2002,10,-20.175,149.025,C,C,MNPB,Marine National Park,1,3,0+,0,0,0,0,0,0
